Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1.0,Jonathan Taylor,26.0,IND,RB,3.0,3.0,60.0,338.0,3.0,13.0,55.0,68.0,5.6,112.7,20.0,0.0,
2.0,Saquon Barkley,28.0,PHI,RB,3.0,3.0,58.0,194.0,2.0,10.0,44.8,16.0,3.3,64.7,19.3,0.0,
3.0,Josh Jacobs,27.0,GNB,RB,3.0,3.0,58.0,180.0,2.0,9.0,43.1,15.0,3.1,60.0,19.3,1.0,
4.0,Bucky Irving,23.0,TAM,RB,3.0,3.0,56.0,174.0,0.0,5.0,33.9,16.0,3.1,58.0,18.7,0.0,
5.0,Kyren Williams,25.0,LAR,RB,3.0,3.0,55.0,226.0,1.0,13.0,56.4,15.0,4.1,75.3,18.3,0.0,
6.0,Tony Pollard,28.0,TEN,RB,3.0,3.0,54.0,197.0,1.0,13.0,50.0,10.0,3.6,65.7,18.0,1.0,
7.0,James Cook,26.0,BUF,RB,3.0,3.0,53.0,284.0,4.0,15.0,62.3,44.0,5.4,94.7,17.7,1.0,
8.0,Christian McCaffrey,29.0,SFO,RB,3.0,3.0,52.0,176.0,0.0,13.0,48.1,15.0,3.4,58.7,17.3,0.0,
9.0,Alvin Kamara,30.0,NOR,RB,3.0,3.0,50.0,186.0,1.0,10.0,50.0,18.0,3.7,62.0,16.7,1.0,
10.0,Chase Brown,25.0,CIN,RB,3.0,3.0,47.0,93.0,1.0,7.0,34.0,11.0,2.0,31.0,15.7,1.0,
11.0,Ashton Jeanty,22.0,LVR,RB,3.0,3.0,47.0,144.0,1.0,8.0,38.3,18.0,3.1,48.0,15.7,0.0,
12.0,Bijan Robinson,23.0,ATL,RB,3.0,3.0,47.0,239.0,0.0,9.0,55.3,25.0,5.1,79.7,15.7,0.0,
13.0,Travis Etienne,26.0,JAX,RB,3.0,3.0,46.0,270.0,1.0,8.0,45.7,71.0,5.9,90.0,15.3,0.0,
14.0,Jahmyr Gibbs,23.0,DET,RB,3.0,3.0,43.0,180.0,3.0,11.0,46.5,42.0,4.2,60.0,14.3,0.0,
15.0,Chuba Hubbard,26.0,CAR,RB,3.0,3.0,43.0,168.0,0.0,9.0,51.2,14.0,3.9,56.0,14.3,0.0,
16.0,Jaylen Warren,27.0,PIT,RB,3.0,3.0,43.0,132.0,0.0,11.0,53.5,11.0,3.1,44.0,14.3,0.0,
17.0,Javonte Williams,25.0,DAL,RB,3.0,3.0,43.0,227.0,3.0,14.0,67.4,30.0,5.3,75.7,14.3,1.0,
18.0,Omarion Hampton,22.0,LAC,RB,3.0,3.0,42.0,142.0,1.0,10.0,42.9,15.0,3.4,47.3,14.0,1.0,
19.0,D'Andre Swift,26.0,CHI,RB,3.0,3.0,42.0,149.0,1.0,9.0,45.2,20.0,3.5,49.7,14.0,1.0,
20.0,J.K. Dobbins,27.0,DEN,RB,3.0,2.0,41.0,222.0,3.0,10.0,53.7,41.0,5.4,74.0,13.7,0.0,
21.0,Derrick Henry,31.0,BAL,RB,3.0,3.0,41.0,242.0,3.0,8.0,41.5,49.0,5.9,80.7,13.7,3.0,
22.0,Jordan Mason,26.0,MIN,RB,3.0,1.0,40.0,214.0,2.0,12.0,57.5,24.0,5.4,71.3,13.3,0.0,
23.0,Kenneth Walker III,25.0,SEA,RB,3.0,3.0,39.0,163.0,3.0,11.0,51.3,20.0,4.2,54.3,13.0,0.0,
24.0,Breece Hall,24.0,NYJ,RB,3.0,3.0,38.0,157.0,0.0,10.0,39.5,18.0,4.1,52.3,12.7,0.0,
25.0,Nick Chubb,30.0,HOU,RB,3.0,3.0,34.0,141.0,1.0,7.0,47.1,25.0,4.1,47.0,11.3,0.0,
26.0,David Montgomery,28.0,DET,RB,3.0,0.0,34.0,233.0,3.0,11.0,55.9,72.0,6.9,77.7,11.3,0.0,
27.0,James Conner,30.0,ARI,RB,3.0,3.0,32.0,95.0,1.0,7.0,43.8,12.0,3.0,31.7,10.7,1.0,
28.0,Jalen Hurts,27.0,PHI,QB,3.0,3.0,32.0,117.0,4.0,17.0,62.5,18.0,3.7,39.0,10.7,2.0,
29.0,De'Von Achane,24.0,MIA,RB,3.0,3.0,30.0,147.0,0.0,3.0,50.0,26.0,4.9,49.0,10.0,0.0,
30.0,Quinshon Judkins,22.0,CLE,RB,2.0,2.0,28.0,155.0,1.0,8.0,60.7,38.0,5.5,77.5,14.0,0.0,
31.0,Tyler Allgeier,25.0,ATL,RB,3.0,1.0,27.0,104.0,1.0,8.0,63.0,17.0,3.9,34.7,9.0,0.0,
32.0,Zach Charbonnet,24.0,SEA,RB,2.0,0.0,27.0,57.0,1.0,4.0,40.7,7.0,2.1,28.5,13.5,0.0,
33.0,Isiah Pacheco,26.0,KAN,RB,3.0,3.0,25.0,92.0,0.0,4.0,60.0,10.0,3.7,30.7,8.3,0.0,
34.0,Josh Allen,29.0,BUF,QB,3.0,3.0,24.0,114.0,2.0,7.0,54.2,40.0,4.8,38.0,8.0,1.0,
35.0,Kareem Hunt,30.0,KAN,RB,3.0,0.0,23.0,81.0,1.0,7.0,52.2,11.0,3.5,27.0,7.7,1.0,
36.0,Cam Skattebo,23.0,NYG,RB,3.0,0.0,23.0,102.0,2.0,7.0,47.8,24.0,4.4,34.0,7.7,0.0,
37.0,Jacory Croskey-Merritt,24.0,WAS,RB,3.0,0.0,22.0,125.0,2.0,7.0,68.2,42.0,5.7,41.7,7.3,0.0,
38.0,Rhamondre Stevenson,27.0,NWE,RB,3.0,3.0,22.0,87.0,0.0,4.0,50.0,21.0,4.0,29.0,7.3,2.0,
39.0,Tyrone Tracy Jr.,26.0,NYG,RB,3.0,2.0,22.0,68.0,0.0,6.0,50.0,10.0,3.1,22.7,7.3,0.0,
40.0,Trey Benson,23.0,ARI,RB,3.0,0.0,21.0,125.0,0.0,3.0,33.3,52.0,6.0,41.7,7.0,0.0,
41.0,Drake Maye,23.0,NWE,QB,3.0,3.0,21.0,87.0,1.0,9.0,57.1,15.0,4.1,29.0,7.0,2.0,
42.0,Kyler Murray,28.0,ARI,QB,3.0,3.0,20.0,107.0,0.0,6.0,40.0,30.0,5.4,35.7,6.7,0.0,
43.0,Rico Dowdle,27.0,CAR,RB,3.0,0.0,19.0,51.0,1.0,3.0,42.1,9.0,2.7,17.0,6.3,0.0,
44.0,TreVeyon Henderson,23.0,NWE,RB,3.0,0.0,19.0,65.0,0.0,4.0,36.8,14.0,3.4,21.7,6.3,0.0,
45.0,Bo Nix,25.0,DEN,QB,3.0,3.0,19.0,71.0,0.0,3.0,31.6,18.0,3.7,23.7,6.3,1.0,
46.0,Jayden Daniels,25.0,WAS,QB,2.0,2.0,18.0,85.0,0.0,3.0,55.6,14.0,4.7,42.5,9.0,0.0,
47.0,Justin Herbert,27.0,LAC,QB,3.0,3.0,18.0,69.0,0.0,4.0,38.9,19.0,3.8,23.0,6.0,2.0,
48.0,Patrick Mahomes,30.0,KAN,QB,3.0,3.0,18.0,125.0,2.0,10.0,66.7,22.0,6.9,41.7,6.0,2.0,
49.0,Miles Sanders,28.0,DAL,RB,3.0,0.0,18.0,109.0,1.0,4.0,50.0,49.0,6.1,36.3,6.0,1.0,
50.0,Justin Fields,26.0,NYJ,QB,2.0,2.0,17.0,97.0,2.0,7.0,64.7,27.0,5.7,48.5,8.5,2.0,
