Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Paulson Adebo,26,NYG,CB,3,3,0,0,0,0,3,0,0,0,0,0,0.0,27,23,4,0,0,0,
2,Azeez Al-Shaair,28,HOU,LB,3,3,0,0,0,0,1,1,0,0,0,0,0.0,25,15,10,0,0,0,
3,Jonathan Allen,30,MIN,DL,3,3,0,0,0,0,0,0,0,1,0,0,0.0,13,5,8,0,2,0,
4,Josh Allen,29,BUF,QB,3,3,0,0,0,0,0,0,1,1,-2,0,0.0,0,0,0,0,0,0,
5,Zach Allen,28,DEN,DL,3,3,0,0,0,0,0,0,0,0,0,0,1.0,8,2,6,1,10,0,
6,Will Anderson,24,HOU,DE,3,3,0,0,0,0,0,0,0,0,0,0,3.0,12,10,2,5,5,0,
7,Alex Anzalone,31,DET,LB,3,3,0,0,0,0,0,0,0,0,0,0,0.5,14,6,8,0,1,0,
8,Arik Armstead,32,JAX,DT,3,3,0,0,0,0,0,0,0,0,0,0,1.5,4,1,3,1,3,0,
9,Terrion Arnold,22,DET,CB,3,3,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,0,0,0,
10,Chidobe Awuzie,30,BAL,CB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,14,7,7,0,0,0,
11,Joe Bachie,27,IND,LB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,18,9,9,0,0,0,
12,Budda Baker,29,ARI,S,3,3,0,0,0,0,1,0,0,0,0,0,0.0,24,12,12,1,0,0,
13,Christian Barmore,26,NWE,DT,3,3,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,1,1,0,
14,AJ Barner,23,SEA,TE,3,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15,Derrick Barnes,26,DET,LB,3,3,0,0,0,0,0,0,0,0,0,0,1.0,19,10,9,1,1,0,
16,Cody Barton,29,TEN,LB,3,3,1,0,0,0,1,0,0,0,0,0,0.0,20,12,8,1,0,0,
17,Graham Barton,23,TAM,C,3,3,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
18,Jessie Bates III,28,ATL,S,3,3,0,0,0,0,0,0,0,0,0,0,0.0,17,6,11,0,1,0,
19,Jordan Battle,25,CIN,S,3,3,2,6,0,4,2,0,0,0,0,0,0.0,23,11,12,0,0,0,
20,Zack Baun,29,PHI,LB,3,3,1,0,0,0,3,0,0,0,0,0,0.0,22,14,8,1,1,0,
21,Christian Benford,25,BUF,CB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,15,10,5,1,0,0,
22,Keeanu Benton,24,PIT,DL,3,3,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,1,0,
23,Terrel Bernard,26,BUF,LB,3,3,1,24,0,24,1,0,0,1,0,0,0.0,14,9,5,2,1,0,
24,Cole Bishop,23,BUF,S,3,3,0,0,0,0,0,0,0,0,0,0,1.0,14,12,2,1,1,0,
25,Reed Blankenship,26,PHI,S,3,3,0,0,0,0,1,0,0,0,0,0,0.0,9,5,4,0,0,0,
26,Nick Bolton,25,KAN,LB,3,3,0,0,0,0,1,0,0,0,0,0,0.0,28,15,13,2,0,0,
27,Nik Bonitto,26,DEN,OLB,3,3,0,0,0,0,0,0,0,0,0,0,3.0,10,7,3,4,9,0,
28,Thomas Booker,26,LVR,DT,3,3,0,0,0,0,1,1,0,0,0,0,0.0,7,3,4,0,1,0,
29,Joey Bosa,30,BUF,DE,3,3,0,0,0,0,0,3,0,0,0,0,1.0,5,3,2,1,3,0,
30,Nick Bosa,28,SFO,DL,3,3,0,0,0,0,0,2,0,1,0,0,2.0,17,9,8,4,3,0,
31,Garrett Bradbury,30,NWE,C,3,3,0,0,0,0,0,0,1,0,-13,0,0.0,0,0,0,0,0,0,
32,Brian Branch,24,DET,DB,3,3,0,0,0,0,2,1,0,0,0,0,1.0,17,15,2,3,1,0,
33,Bryan Bresee,24,NOR,DT,3,3,0,0,0,0,1,0,0,0,0,0,0.0,6,1,5,0,2,0,
34,Jaquan Brisker,26,CHI,DB,3,3,0,0,0,0,1,0,0,0,0,0,0.0,17,13,4,0,0,0,
35,Jordyn Brooks,28,MIA,LB,3,3,0,0,0,0,0,0,0,0,0,0,1.0,26,13,13,2,1,0,
36,Chase Brown,25,CIN,RB,3,3,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
37,Derrick Brown,27,CAR,DE,3,3,0,0,0,0,2,0,0,0,0,0,0.0,9,7,2,0,2,0,
38,Spencer Brown,27,BUF,T,3,3,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
39,Baron Browning,26,ARI,OLB,3,3,1,4,0,4,1,0,0,0,0,0,1.0,7,3,4,2,3,0,
40,Coby Bryant,26,SEA,FS,3,3,1,28,0,28,3,0,0,0,0,0,0.0,15,11,4,0,0,0,
41,DeForest Buckner,31,IND,DT,3,3,0,0,0,0,0,0,0,0,0,0,0.0,14,9,5,2,1,0,
42,Calen Bullock,22,HOU,S,3,3,0,0,0,0,1,0,0,0,0,0,0.0,9,8,1,0,0,0,
43,Brian Burns,27,NYG,OLB,3,3,0,0,0,0,3,1,0,0,0,0,4.0,15,10,5,5,5,0,
44,Devin Bush Jr.,27,CLE,LB,3,3,0,0,0,0,3,1,0,0,0,0,1.0,22,11,11,2,2,0,
45,Adam Butler,31,LVR,DT,3,3,0,0,0,0,0,0,0,1,0,0,0.0,11,4,7,0,1,0,
46,Kevin Byard,32,CHI,DB,3,3,1,0,0,0,1,0,0,0,0,0,0.0,16,13,3,0,0,0,
47,Camryn Bynum,27,IND,S,3,3,2,14,0,14,3,0,0,0,0,0,0.0,11,7,4,0,0,0,
48,Calais Campbell,39,ARI,DL,3,3,0,0,0,0,0,0,0,0,0,0,2.0,11,8,3,2,5,0,
49,Jack Campbell,25,DET,LB,3,3,0,0,0,0,0,1,0,1,2,0,1.0,26,17,9,1,0,0,
50,Jihaad Campbell,21,PHI,LB,3,3,0,0,0,0,1,1,0,0,0,0,0.0,18,10,8,0,1,0,
51,Tyson Campbell,25,JAX,CB,3,3,0,0,0,0,5,1,0,0,0,0,0.0,18,14,4,1,0,0,
52,Will Campbell,21,NWE,OT,3,3,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
53,Michael Carter II,26,NYJ,CB,3,3,0,0,0,0,2,0,0,0,0,0,0.0,11,9,2,1,0,0,
54,K'Lavon Chaisson,26,NWE,LB,3,3,0,0,0,0,0,0,0,0,0,0,1.5,7,3,4,2,4,0,
55,Ja'Marr Chase,25,CIN,WR,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
56,Leo Chenal,25,KAN,LB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,10,4,6,1,0,0,
57,Jeremy Chinn,27,LVR,S,3,3,0,0,0,0,1,0,0,0,0,0,0.0,15,13,2,1,0,0,
58,Bradley Chubb,29,MIA,LB,3,3,0,0,0,0,0,0,0,0,0,0,3.0,9,5,4,3,3,0,
59,Andre Cisco,25,NYJ,S,3,3,0,0,0,0,1,0,0,0,0,0,0.0,16,9,7,1,0,0,
60,Kenny Clark,30,DAL,DT,3,3,0,0,0,0,0,0,0,0,0,0,1.0,10,4,6,1,1,0,
61,Maliek Collins,30,CLE,DT,3,3,0,0,0,0,0,0,0,0,0,0,1.5,5,2,3,1,3,0,
62,Nico Collins,26,HOU,WR,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
63,Tyler Conklin,30,LAC,TE,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
64,Chamarri Conner,25,KAN,DB,3,3,0,0,0,0,0,1,0,0,0,0,0.0,24,11,13,0,1,0,
65,James Conner,30,ARI,RB,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
66,Bryan Cook,26,KAN,S,3,3,0,0,0,0,2,0,0,0,0,0,0.0,9,6,3,0,0,0,
