Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Justin Herbert,27.0,LAC,QB,3.0,3.0,3-0-0,72.0,108.0,66.7,860.0,6.0,5.6,1.0,0.9,41.0,50.0,60.0,8.0,8.66,11.9,286.7,105.5,81.6,10.0,50.0,8.47,6.86,7.5,1.0,1.0,
2.0,Geno Smith,35.0,LVR,QB,3.0,3.0,1-2-0,67.0,106.0,63.2,831.0,4.0,3.8,4.0,3.8,37.0,43.2,61.0,7.8,6.9,12.4,277.0,84.3,37.1,12.0,87.0,10.17,6.31,5.46,0.0,0.0,
3.0,Daniel Jones,28.0,IND,QB,3.0,3.0,3-0-0,63.0,88.0,71.6,816.0,3.0,3.4,0.0,0.0,40.0,61.1,44.0,9.3,9.95,13.0,272.0,111.7,80.8,2.0,20.0,2.22,8.84,9.51,1.0,1.0,
4.0,Dak Prescott,32.0,DAL,QB,3.0,3.0,1-2-0,90.0,126.0,71.4,800.0,3.0,2.4,3.0,2.4,39.0,46.6,37.0,6.3,5.75,8.9,266.7,86.1,65.2,5.0,35.0,3.82,5.84,5.27,1.0,1.0,
5.0,Drake Maye,23.0,NWE,QB,3.0,3.0,1-2-0,77.0,106.0,72.6,785.0,5.0,4.7,2.0,1.9,37.0,49.2,55.0,7.4,7.5,10.2,261.7,101.3,57.7,12.0,48.0,10.17,6.25,6.33,0.0,0.0,
6.0,Russell Wilson,37.0,NYG,QB,3.0,3.0,0-3-0,65.0,110.0,59.1,778.0,3.0,2.7,3.0,2.7,31.0,40.2,52.0,7.1,6.39,12.0,259.3,78.5,54.3,7.0,48.0,5.98,6.24,5.6,0.0,0.0,
7.0,Jared Goff,31.0,DET,QB,3.0,3.0,2-1-0,74.0,95.0,77.9,761.0,7.0,7.4,1.0,1.1,39.0,55.6,64.0,8.0,9.01,10.3,253.7,120.2,81.7,4.0,25.0,4.04,7.43,8.39,0.0,1.0,
8.0,Josh Allen,29.0,BUF,QB,3.0,3.0,3-0-0,69.0,99.0,69.7,755.0,5.0,5.1,0.0,0.0,38.0,51.5,51.0,7.6,8.64,10.9,251.7,108.8,81.3,4.0,16.0,3.88,7.17,8.15,1.0,2.0,
9.0,Matthew Stafford,37.0,LAR,QB,3.0,3.0,2-1-0,63.0,95.0,66.3,739.0,5.0,5.3,2.0,2.1,35.0,52.0,44.0,7.8,7.88,11.7,246.3,98.5,66.9,5.0,29.0,5.0,7.1,7.2,0.0,0.0,
10.0,Lamar Jackson,28.0,BAL,QB,3.0,3.0,1-2-0,54.0,75.0,72.0,722.0,9.0,12.0,0.0,0.0,32.0,50.6,41.0,9.6,12.03,13.4,240.7,141.8,83.6,12.0,98.0,13.79,7.17,9.24,0.0,0.0,
11.0,Caleb Williams,24.0,CHI,QB,3.0,3.0,1-2-0,59.0,93.0,63.4,715.0,7.0,7.5,1.0,1.1,31.0,40.4,65.0,7.7,8.71,12.1,238.3,107.6,57.5,6.0,41.0,6.06,6.81,7.77,0.0,0.0,
12.0,Trevor Lawrence,26.0,JAX,QB,3.0,3.0,2-1-0,63.0,113.0,55.8,671.0,4.0,3.5,4.0,3.5,34.0,38.8,46.0,5.9,5.05,10.7,223.7,70.3,48.8,3.0,27.0,2.59,5.55,4.69,0.0,1.0,
