Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Puka Nacua,24.0,LAR,WR,3.0,3.0,35.0,29.0,333.0,11.5,0.0,18.0,71.4,25.0,9.7,111.0,82.9,9.5,0.0,
2.0,Jake Ferguson,26.0,DAL,TE,3.0,2.0,32.0,27.0,183.0,6.8,0.0,6.0,56.3,19.0,9.0,61.0,84.4,5.7,0.0,
3.0,Christian McCaffrey,29.0,SFO,RB,3.0,3.0,32.0,25.0,213.0,8.5,1.0,8.0,56.3,25.0,8.3,71.0,78.1,6.7,0.0,
4.0,Chris Olave,25.0,NOR,WR,3.0,3.0,37.0,23.0,165.0,7.2,0.0,10.0,48.6,14.0,7.7,55.0,62.2,4.5,0.0,
5.0,Jaxon Smith-Njigba,23.0,SEA,WR,3.0,3.0,29.0,22.0,323.0,14.7,1.0,14.0,51.7,45.0,7.3,107.7,75.9,11.1,2.0,
6.0,Ja'Marr Chase,25.0,CIN,WR,3.0,3.0,27.0,21.0,241.0,11.5,1.0,12.0,63.0,28.0,7.0,80.3,77.8,8.9,1.0,
7.0,Garrett Wilson,25.0,NYJ,WR,3.0,3.0,30.0,21.0,229.0,10.9,2.0,10.0,53.3,33.0,7.0,76.3,70.0,7.6,1.0,
8.0,Amon-Ra St. Brown,26.0,DET,WR,3.0,3.0,25.0,20.0,237.0,11.9,4.0,16.0,68.0,34.0,6.7,79.0,80.0,9.5,0.0,
9.0,Keenan Allen,33.0,LAC,WR,3.0,1.0,28.0,19.0,194.0,10.2,3.0,13.0,60.7,25.0,6.3,64.7,67.9,6.9,0.0,
10.0,Marquise Brown,28.0,KAN,WR,3.0,3.0,27.0,19.0,171.0,9.0,0.0,8.0,55.6,49.0,6.3,57.0,70.4,6.3,0.0,
11.0,Juwan Johnson,29.0,NOR,TE,3.0,3.0,28.0,19.0,176.0,9.3,1.0,10.0,50.0,21.0,6.3,58.7,67.9,6.3,0.0,
12.0,De'Von Achane,24.0,MIA,RB,3.0,3.0,23.0,18.0,141.0,7.8,2.0,6.0,43.5,29.0,6.0,47.0,78.3,6.1,0.0,
13.0,Jahmyr Gibbs,23.0,DET,RB,3.0,3.0,19.0,18.0,73.0,4.1,0.0,2.0,47.4,9.0,6.0,24.3,94.7,3.8,0.0,
